path,class_id,class_name,top-1-pre_ID,top-1-pre_name,top-2-pre_ID,top-2-pre_name,top-3-pre_ID,top-3-pre_name,top-4-pre_ID,top-4-pre_name,top-5-pre_ID,top-5-pre_name,top-n_corr,0-belive,1-belive,2-belive,3-belive,4-belive,5-belive
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_0.png,0,1.5fold,0,1.5fold,2,dorsal intercalation,1,2fold,4,rotation,3,before intercalation,True,0.998026,0.00065555115,0.00072047283,5.5100038e-05,0.0005175763,2.5348034e-05
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_101.png,0,1.5fold,0,1.5fold,4,rotation,1,2fold,5,ventral enclosure,2,dorsal intercalation,True,0.9999291,1.0579192e-05,1.1572981e-06,6.3735075e-07,5.0119448e-05,8.497085e-06
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_102.png,0,1.5fold,0,1.5fold,4,rotation,1,2fold,5,ventral enclosure,3,before intercalation,True,0.9958632,0.0014868674,2.3836533e-06,1.7034707e-05,0.0025824122,4.8107402e-05
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_107.png,0,1.5fold,0,1.5fold,1,2fold,3,before intercalation,5,ventral enclosure,4,rotation,True,0.99171937,0.008138932,1.1792416e-05,9.926267e-05,1.3872127e-05,1.679663e-05
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_108.png,0,1.5fold,0,1.5fold,1,2fold,4,rotation,3,before intercalation,5,ventral enclosure,True,0.9993622,0.00062142673,1.6974949e-06,2.8024674e-06,9.397681e-06,2.4792378e-06
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_109.png,0,1.5fold,0,1.5fold,1,2fold,3,before intercalation,2,dorsal intercalation,5,ventral enclosure,True,0.996849,0.003066807,2.4011324e-05,3.115563e-05,1.28708925e-05,1.6138252e-05
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_113.png,0,1.5fold,0,1.5fold,1,2fold,2,dorsal intercalation,5,ventral enclosure,4,rotation,True,0.99997973,9.5775695e-06,5.1070524e-06,1.2257954e-06,1.87496e-06,2.4116557e-06
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_115.png,0,1.5fold,0,1.5fold,2,dorsal intercalation,4,rotation,1,2fold,5,ventral enclosure,True,0.8693923,0.00010915837,0.12651661,6.6492204e-05,0.0038343691,8.11111e-05
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_123.png,0,1.5fold,0,1.5fold,1,2fold,3,before intercalation,2,dorsal intercalation,5,ventral enclosure,True,0.9972977,0.0026852002,8.5729823e-07,1.532394e-05,4.240212e-07,4.7163118e-07
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_125.png,0,1.5fold,0,1.5fold,1,2fold,3,before intercalation,2,dorsal intercalation,5,ventral enclosure,True,0.99796414,0.0019872377,4.109986e-06,4.310119e-05,2.5037002e-07,1.1837943e-06
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_126.png,0,1.5fold,0,1.5fold,4,rotation,1,2fold,3,before intercalation,5,ventral enclosure,True,0.99980706,1.1073932e-05,3.1914234e-07,1.0658023e-06,0.00017948721,9.724325e-07
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_128.png,0,1.5fold,0,1.5fold,1,2fold,3,before intercalation,2,dorsal intercalation,4,rotation,True,0.9996942,0.00021409726,2.4153338e-05,3.0132533e-05,2.3879777e-05,1.3583183e-05
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_132.png,0,1.5fold,0,1.5fold,1,2fold,4,rotation,5,ventral enclosure,3,before intercalation,True,0.99997115,2.2313689e-05,3.0852414e-07,1.1266385e-06,3.0329702e-06,2.0324471e-06
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_141.png,0,1.5fold,0,1.5fold,5,ventral enclosure,1,2fold,4,rotation,3,before intercalation,True,0.9980106,9.3930175e-05,8.402403e-06,1.409808e-05,6.6040884e-05,0.0018070067
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_142.png,0,1.5fold,0,1.5fold,1,2fold,4,rotation,5,ventral enclosure,3,before intercalation,True,0.99991655,7.952074e-05,1.5668255e-07,4.7664528e-07,2.8909735e-06,5.2097033e-07
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_153.png,0,1.5fold,0,1.5fold,1,2fold,5,ventral enclosure,3,before intercalation,2,dorsal intercalation,True,0.9928468,0.007110526,1.924918e-06,1.997648e-05,6.527057e-07,2.0094485e-05
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_160.png,0,1.5fold,0,1.5fold,4,rotation,1,2fold,2,dorsal intercalation,5,ventral enclosure,True,0.99471045,6.9391e-05,6.386407e-05,2.440493e-06,0.005123593,3.029194e-05
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_161.png,0,1.5fold,0,1.5fold,4,rotation,5,ventral enclosure,1,2fold,2,dorsal intercalation,True,0.9993343,2.786308e-05,1.6948312e-05,5.595926e-06,0.00057670526,3.8598966e-05
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_162.png,0,1.5fold,0,1.5fold,4,rotation,2,dorsal intercalation,1,2fold,5,ventral enclosure,True,0.9996861,2.1542752e-05,2.8595769e-05,4.6979867e-06,0.00024949247,9.503245e-06
C:/Users/liFangzheng/Desktop/LI Peiyue/embryo_split/val\1.5fold\1.5fold_163.png,0,1.5fold,0,1.5fold,1,2fold,3,before intercalation,5,ventral enclosure,4,rotation,True,0.9971318,0.0027906082,1.39945905e-05,2.355347e-05,1.804246e-05,2.1910242e-05
